SMILES,pka_value
CC(C)C[C@H](N)C(=O)O,9.68
CC(C)C[C@H](N)C(=O)O,9.74
CC(C)C[C@H](NC(=O)[C@@H](N)CO)C(=O)O,7.45
CC(C[C@H](N)C(=O)O)C(F)(F)F,8.947
NCCCC[C@H](N)C(=O)O,10.94
NCCCC[C@H](N)C(=O)O,10.79
NCCCC[C@H](N)C(=O)O,10.81
NCCCC[C@H](N)C(=O)O,10.53
NCCCC[C@H](N)C(=O)O,10.53
CSCC[C@H](N)C(=O)O,9.1
CSCC[C@H](N)C(=O)O,9.27
CSCC[C@H](N)C(=O)O,9.28
CCCC[C@H](N)C(=O)O,9.834
CCCC[C@H](N)C(=O)O,9.82
N[C@@H](CCCC(F)(F)F)C(=O)O,9.463
CCC[C@H](N)C(=O)O,9.808
CCC[C@H](N)C(=O)O,9.78
N[C@@H](CCC(F)(F)F)C(=O)O,8.916
NCCC[C@H](N)C(=O)O,8.69
NCCC[C@H](N)C(=O)O,8.65
N[C@@H](Cc1ccccc1)C(=O)O,9.18
N[C@@H](Cc1ccccc1)C(=O)O,9.24
N[C@@H](Cc1ccccc1)C(=O)O,9.13
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,8.72
NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,8.17
NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,8.32
O=C(O)CNc1ccccc1,4.39
CC(=O)c1cccc(NCC(=O)O)c1,3.93
O=C(O)CNc1cccc(Cl)c1,3.93
O=C(O)CNc1ccc(Cl)cc1,4.04
N#Cc1cccc(NCC(=O)O)c1,3.78
COc1cccc(NCC(=O)O)c1,4.135
COc1ccc(NCC(=O)O)cc1,5.096
Cc1cccc(NCC(=O)O)c1,4.6
Cc1ccc(NCC(=O)O)cc1,4.85
O=C(O)CNc1cccc([N+](=O)[O-])c1,3.752
N[C@@H](COP(=O)(O)O)C(=O)O,2.08
O=C(O)[C@@H]1CCCN1,10.64
C[C@@H](N)C(=O)N1CCC[C@H]1C(=O)O,8.38
NCC(=O)N1CCC[C@H]1C(=O)O,8.69
NCC(=O)N1CCC[C@H]1C(=O)O,8.65
NCC(=O)N1CCC[C@H]1C(=O)O,8.5
NCC(=O)N1CCC[C@H]1C(=O)O,8.53
CNCC(=O)O,10.2
CNCC(=O)O,10.12
CNCC(=O)O,10.11
CNCC(=O)O,10.18
CNCC(=O)O,10.01
CN(CC(=O)O)C(=O)CN,8.8
CN(CC(=O)O)C(=O)CN,8.59
CN(CC(=O)O)C(=O)CN,8.61
N[C@@H](CO)C(=O)O,9.208
N[C@@H](CO)C(=O)O,9.21
N[C@@H](CO)C(=O)O,9.15
N[C@@H](CO)C(=O)O,9.02
NCC(=O)N[C@@H](CO)C(=O)O,8.38
NCC(=O)N[C@@H](CO)C(=O)O,8.1
C[C@@H](O)[C@H](N)C(=O)O,9.1
C[C@@H](O)[C@H](N)C(=O)O,9
N[C@H](C(=O)O)[C@H](O)C(F)(F)F,7.781
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,9.44
NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,8.06
N[C@@H](Cc1ccc(O)cc1)C(=O)O,9.11
N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O,6.45
N[C@@H](Cc1cc(Cl)c(O)c(Cl)c1)C(=O)O,6.47
N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)O,6.48
NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,8.24
COc1ccc(C[C@H](N)C(=O)O)cc1,9.27
COc1ccc(C[C@H](N)C(=O)O)cc1,9.35
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,7.68
CC(C)[C@H](N)C(=O)O,9.719
CC(C)[C@H](N)C(=O)O,9.68
CC(C)[C@H](N)C(=O)O,9.61
CC(C)[C@H](NC(=O)CN)C(=O)O,8.25
CC(C)[C@H](NC(=O)CN)C(=O)O,8.22
CC([C@H](N)C(=O)O)C(F)(F)F,8.102
CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1,4.82
O=C(O)CN1CCCCC1,10.2
O=C(O)C1CCCC(C(=O)O)N1,10.12
O=C(O)c1cccnc1,4.76
O=C(O)c1ccncc1,4.9
O=C(O)c1ccnc(C(=O)O)c1,2.17
O=C(O)c1cncc(C(=O)O)c1,2.72
Cc1nc(C)c(C(=O)O)cc1C(=O)O,2.81
O=C(O)c1nc(C(=O)O)c(C(=O)O)c(C(=O)O)c1C(=O)O,0.5
O=C(O)c1cc(C(=O)O)c(C(=O)O)nc1C(=O)O,~1.2
O=C(O)c1cncc(C(=O)O)c1C(=O)O,2.01
O=C(O)c1c[nH]cn1,6.11
O=C(O)CCc1ncc[nH]1,7.56
Cn1ccnc1C(=O)O,7.25
