cas,smiles,input_canonical_smiles,pka_value,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error,polar,h_nbo_charge,o_nbo_charge,total_nbo_charge,dipole_moment_debye,homo_ev,lumo_ev,gap_ev
93-10-7,O=C(O)C=1N=C2C=CC=CC2=CC1,O=C(O)c1ccc2ccccc2n1,4.864,O=C(O)c1ccc2ccccc2n1,173.171,1.933,50.19,2,1,1,2,0.0,0,0,1,0,1,0,2,1,0,,194.88338320000003,0.53261,-0.6983,-0.011759999999999993,6.265262565128456,-8.088856319963002,-1.1507694737645,6.938086846198502
99-94-5,O=C(O)C1=CC=C(C=C1)C,Cc1ccc(C(=O)O)cc1,4.383333333333334,Cc1ccc(C(=O)O)cc1,136.15,1.69322,37.3,1,1,1,1,0.125,0,0,1,0,1,0,2,1,0,,142.85516456666667,0.52845,-0.70673,-0.035479999999999956,3.856975237151517,-8.479883923131501,-0.4231370375275,8.056746885604001
74-11-3,O=C(O)C1=CC=C(Cl)C=C1,O=C(O)c1ccc(Cl)cc1,3.988,O=C(O)c1ccc(Cl)cc1,156.568,2.0382,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,138.57066833333334,0.53057,-0.7023,-0.017890000000000073,2.269491178656573,-8.670091504631001,-0.650352102695,8.019739401936
62-57-7,O=C(O)C(N)(C)C,CC(C)(N)C(=O)O,10.2125,CC(C)(N)C(=O)O,103.121,-0.1917,63.32,2,2,1,0,0.75,0,0,1,0,1,0,2,1,0,,86.62481943333334,0.52319,-0.71358,-0.029240000000000044,2.343936872016821,-8.83281558723,0.9270918886535001,9.7599074758835
586-76-5,O=C(O)C1=CC=C(Br)C=C1,O=C(O)c1ccc(Br)cc1,3.963,O=C(O)c1ccc(Br)cc1,201.019,2.1473,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,148.8233551,0.53072,-0.70188,-0.01638000000000006,2.26992756932903,-8.565055558337999,-0.6827336509045,7.882321907433499
104-01-8,O=C(O)CC1=CC=C(OC)C=C1,COc1ccc(CC(=O)O)cc1,4.07,COc1ccc(CC(=O)O)cc1,166.176,1.3223,46.53,2,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,,160.535461,0.52695,-0.71121,-0.011290000000000022,1.7662194257792545,-7.650753020658001,0.6250455145985,8.2757985352565
501-52-0,O=C(O)CCC=1C=CC=CC1,O=C(O)CCc1ccccc1,4.688,O=C(O)CCc1ccccc1,150.177,1.7038,37.3,1,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,,152.84496566666667,0.52493,-0.71283,-0.024780000000000024,2.7326879697470035,-8.240695848542,0.6941624326255,8.9348582811675
50-84-0,O=C(O)C1=CC=C(Cl)C=C1Cl,O=C(O)c1ccc(Cl)cc1Cl,2.73,O=C(O)c1ccc(Cl)cc1Cl,191.013,2.6916,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,153.7651928,0.53133,-0.69827,0.01634000000000002,4.006774509502625,-8.7084595575515,-0.631848360861,8.0766111966905
581-96-4,O=C(O)CC=1C=CC=2C=CC=CC2C1,O=C(O)Cc1ccc2ccccc2c1,4.3,O=C(O)Cc1ccc2ccccc2c1,186.21,2.4669,37.3,1,1,2,2,0.083333,0,0,1,0,1,0,2,1,0,,217.2361646666667,0.52719,-0.70866,-0.007509999999999906,2.5495047519077114,-7.465987716168501,-0.1863979875925,7.279589728576001
111-16-0,O=C(O)CCCCCC(=O)O,O=C(O)CCCCCC(=O)O,4.484999999999999,O=C(O)CCCCCC(=O)O,160.169,1.1061,74.6,2,2,6,0,0.714286,0,0,2,0,2,0,4,2,0,,128.18390133333335,0.52567,-0.71569,-0.03100500000000006,5.424100031341605,-9.6962328348665,0.8974314789490001,10.5936643138155
771-50-6,O=C(O)C1=CNC=2C=CC=CC21,O=C(O)c1c[nH]c2ccccc12,3.87,O=C(O)c1c[nH]c2ccccc12,161.16,1.8661,53.09,1,2,1,2,0.0,0,0,1,0,1,0,2,1,0,,172.9135008333333,0.52451,-0.71782,-0.08020999999999989,6.843967716171665,-7.563676588498,-0.033742117462,7.529934471035999
879-65-2,O=C(O)C1=NC2=CC=CC=C2N=C1,O=C(O)c1cnc2ccccc2n1,2.811666666666666,O=C(O)c1cnc2ccccc2n1,174.159,1.328,63.08,3,1,1,2,0.0,0,0,1,0,1,0,2,1,0,,188.47001590000002,0.53273,-0.68611,0.0018900000000000583,3.7898376825399795,-8.471448393766,-1.5589402495145,6.9125081442515
594-61-6,O=C(O)C(O)(C)C,CC(C)(O)C(=O)O,3.784,CC(C)(O)C(=O)O,104.105,-0.1581,57.53,2,2,1,0,0.75,0,0,1,0,1,0,2,1,0,,79.9087568,0.52974,-0.70406,-0.01817000000000002,3.7469367835606726,-9.691062671707,0.9309014825605,10.6219641542675
1492-24-6,O=C(O)C(N)CC,CCC(N)C(=O)O,9.708666666666668,CCC(N)C(=O)O,103.121,-0.1917,63.32,2,2,2,0,0.75,0,0,1,0,1,0,2,1,0,,85.56263630000001,0.52737,-0.71069,-0.03776000000000013,2.6253821607529826,-8.5397489702415,0.9314457102614999,9.471194680503
118-91-2,O=C(O)C=1C=CC=CC1Cl,O=C(O)c1ccccc1Cl,3.063333333333333,O=C(O)c1ccccc1Cl,156.568,2.0382,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,137.50951813333333,0.53055,-0.68891,0.015490000000000004,3.12037943365867,-8.595532309594,-0.39238817242100005,8.203144137173
306-08-1,O=C(O)CC1=CC=C(O)C(OC)=C1,COc1cc(CC(=O)O)ccc1O,4.41,COc1cc(CC(=O)O)ccc1O,182.175,1.0279,66.76,3,2,3,1,0.222222,0,0,1,0,1,0,2,1,0,,167.003448,0.52769,-0.70731,-0.010120000000000018,2.1148087975039256,-7.4170072230785,0.775524473925,8.1925316970035
89-86-1,O=C(O)C1=CC=C(O)C=C1O,O=C(O)c1ccc(O)cc1O,3.20875,O=C(O)c1ccc(O)cc1O,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,,141.51117933333333,0.53105,-0.69648,-0.04239999999999999,1.8131871718054924,-8.008310620215001,-0.331434669909,7.676875950306001
7254-19-5,O=C(O)C1=CC=2C=C(Br)C=CC2N1,O=C(O)c1cc2cc(Br)ccc2[nH]1,16.1,O=C(O)c1cc2cc(Br)ccc2[nH]1,240.056,2.6286,53.09,1,2,1,2,0.0,0,0,1,0,1,0,2,1,0,,205.34331733333332,0.53272,-0.70344,-0.037899999999999934,5.599228207530034,-7.631705051122999,-0.6876317002135001,6.944073350909499
556-33-2,O=C(O)CNC(=O)CNC(=O)CN,NCC(=O)NCC(=O)NCC(=O)O,8.11,NCC(=O)NCC(=O)NCC(=O)O,189.171,-2.7379,121.52,4,4,5,0,0.5,0,0,1,0,1,0,2,1,0,,142.12272,0.53144,-0.69962,-0.010000000000000009,8.904292067312257,-8.682608741753999,0.753211138184,9.435819879937998
10349-57-2,O=C(O)C1=CC=C2N=CC=CC2=C1,O=C(O)c1ccc2ncccc2c1,4.82,O=C(O)c1ccc2ncccc2c1,173.171,1.933,50.19,2,1,1,2,0.0,0,0,1,0,1,0,2,1,0,,194.9498118,0.53014,-0.70361,-0.02066000000000001,5.716004164624095,-8.190082672349002,-0.9847800249595,7.205302647389502
