cas,smiles,input_canonical_smiles,pka_value,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error,polar,h_nbo_charge,o_nbo_charge,total_nbo_charge,dipole_moment_debye,homo_ev,lumo_ev,gap_ev
499-83-2,O=C(O)C=1N=C(C=CC1)C(=O)O,O=C(O)c1cccc(C(=O)O)n1,4.6,O=C(O)c1cccc(C(=O)O)n1,167.12,0.478,87.49,3,2,2,1,0.0,0,0,2,0,2,0,4,2,0,,139.05263346666666,0.53363,-0.69642,-0.003085,5.727532080224431,-9.373777922024,-0.90341798366,8.470359938364
93-09-4,O=C(O)C=1C=CC=2C=CC=CC2C1,O=C(O)c1ccc2ccccc2c1,4.343666666666667,O=C(O)c1ccc2ccccc2c1,172.183,2.538,37.3,1,1,1,2,0.0,0,0,1,0,1,0,2,1,0,,206.5316283333333,0.52927,-0.70536,-0.0279199999999999,3.8352152716633774,-7.6662635101365,-0.7913070772540001,6.8749564328825
552-16-9,O=C(O)C=1C=CC=CC1N(=O)=O,O=C(O)c1ccccc1[N+](=O)[O-],2.1083333333333334,O=C(O)c1ccccc1[N+](=O)[O-],167.12,1.293,80.44,3,1,2,1,0.0,0,0,1,0,1,0,2,1,0,,147.94078246666666,0.53365,-0.68859,0.0317299999999999,8.422178892661922,-9.2200335964915,-1.7777197853165,7.442313811175
446-08-2,O=C(O)C1=CC(F)=CC=C1N,Nc1ccc(F)cc1C(=O)O,4.82,Nc1ccc(F)cc1C(=O)O,155.128,1.1061,63.32,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,,140.70312143333334,0.5281,-0.70995,-0.0570399999999998,2.6019194107427697,-7.304079975121,-0.502322168023,6.801757807097999
127-17-3,O=C(O)C(=O)C,CC(=O)C(=O)O,2.365,CC(=O)C(=O)O,88.062,-0.34,54.37,2,1,1,0,0.333333,0,0,1,0,1,0,2,1,0,,58.4844319,0.53644,-0.6808,-0.01844,1.9247076167563737,-9.3174503549705,-1.0843736942425,8.233076660728
456-22-4,O=C(O)C1=CC=C(F)C=C1,O=C(O)c1ccc(F)cc1,3.907428571428572,O=C(O)c1ccc(F)cc1,140.113,1.5239,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,120.9190008,0.52998,-0.70403,-0.02375,2.247547607949607,-8.7813860694855,-0.4759271245245,8.305458944961
97-61-0,O=C(O)C(C)CCC,CCCC(C)C(=O)O,4.782,CCCC(C)C(=O)O,116.16,1.5072,37.3,1,1,3,0,0.833333,0,0,1,0,1,0,2,1,0,,106.79544066666666,0.52368,-0.70919,-0.0256199999999999,2.5771192036846107,-9.736777798591,1.023692305581,10.760470104172
492-37-5,O=C(O)C(C=1C=CC=CC1)C,CC(C(=O)O)c1ccccc1,4.3,CC(C(=O)O)c1ccccc1,150.177,1.8747,37.3,1,1,2,1,0.222222,0,0,1,0,1,0,2,1,0,,154.15270966666665,0.5279,-0.70955,-0.0040999999999999,2.700506139596798,-8.378385456895,0.4808251738335,8.8592106307285
2612-02-4,O=C(O)C1=CC(OC)=CC=C1O,COc1ccc(O)c(C(=O)O)c1,2.94,COc1ccc(O)c(C(=O)O)c1,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,,155.89088790000002,0.53314,-0.69108,-0.01508,3.756602876269995,-7.4447628358295,-0.5885822586315,6.856180577198
99-06-9,O=C(O)C=1C=CC=C(O)C1,O=C(O)c1cccc(O)c1,4.19,O=C(O)c1cccc(O)c1,138.122,1.0904,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,,130.20335939999998,0.52998,-0.70354,-0.02104,3.0676065588663746,-8.0581074548565,-0.5396017655415,7.518505689315001
116-53-0,O=C(O)C(C)CC,CCC(C)C(=O)O,4.761,CCC(C)C(=O)O,102.133,1.1171,37.3,1,1,2,0,0.8,0,0,1,0,1,0,2,1,0,,90.00017883333334,0.52549,-0.70689,-0.0254499999999999,2.643886279702665,-9.669293563667,0.949677338245,10.618970901912
577-56-0,O=C(O)C=1C=CC=CC1C(=O)C,CC(=O)c1ccccc1C(=O)O,4.123,CC(=O)c1ccccc1C(=O)O,164.16,1.5874,54.37,2,1,2,1,0.111111,0,0,1,0,1,0,2,1,0,,160.02495466666667,0.53469,-0.69622,0.00336,3.3024456240792217,-8.833359814931,-0.6759308046420001,8.157429010289
619-04-5,O=C(O)C1=CC=C(C(=C1)C)C,Cc1ccc(C(=O)O)cc1C,4.5,Cc1ccc(C(=O)O)cc1C,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,0,1,0,2,1,0,,161.24257826666664,0.52805,-0.70736,-0.0376599999999999,4.5040626383299776,-8.252396744113499,-0.3834084153545,7.868988328758999
97-65-4,O=C(O)C(=C)CC(=O)O,C=C(CC(=O)O)C(=O)O,3.6545,C=C(CC(=O)O)C(=O)O,130.099,0.1019,74.6,2,2,3,0,0.2,0,0,2,0,2,0,4,2,0,,98.2162665,0.53043,-0.70731,-0.017795,5.455181842981955,-9.3647981649575,-0.432661022295,8.932137142662501
536-66-3,O=C(O)C1=CC=C(C=C1)C(C)C,CC(C)c1ccc(C(=O)O)cc1,4.36,CC(C)c1ccc(C(=O)O)cc1,164.204,2.5082,37.3,1,1,2,1,0.3,0,0,1,0,1,0,2,1,0,,177.60035133333335,0.52842,-0.70639,-0.0349199999999999,3.910911415514291,-8.480700264683,-0.4193274436205,8.0613728210625
83-40-9,O=C(O)C1=CC=CC(=C1O)C,Cc1cccc(C(=O)O)c1O,2.971,Cc1cccc(C(=O)O)c1O,152.149,1.39882,57.53,2,2,1,1,0.125,0,0,1,0,1,0,2,1,0,,149.61818223333333,0.52549,-0.6953,-0.0342599999999999,6.005851744756942,-7.9372889052345,-0.4073544341985,7.529934471036
