Smiles,pKa,predicted_pKa,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
Cc1ccc(C(=O)O)c(N)c1,5.07,4.1,Cc1ccc(C(=O)O)c(N)c1,151.165,1.27542,63.32,2,2,1,1,0.125,0,0,1,0,1,0,2,1,0,
Cc1ccc(C(=O)O)c(O)c1,3.1630000000000003,3.27,Cc1ccc(C(=O)O)c(O)c1,152.149,1.39882,57.53,2,2,1,1,0.125,0,0,1,0,1,0,2,1,0,
Cc1ccc(C(=O)O)cc1,4.383333333333334,4.21,Cc1ccc(C(=O)O)cc1,136.15,1.69322,37.3,1,1,1,1,0.125,0,0,1,0,1,0,2,1,0,
Cc1ccc(C(=O)O)cc1C,4.5,4.18,Cc1ccc(C(=O)O)cc1C,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,0,1,0,2,1,0,
Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,3.644,3.63,Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,240.258,2.92422,54.37,2,1,3,2,0.066667,0,0,1,0,1,0,2,1,0,
Cc1ccc(C)c(C(=O)O)c1,4.0205,3.95,Cc1ccc(C)c(C(=O)O)c1,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,0,1,0,2,1,0,
Cc1ccc(C)c(C(=O)O)c1C,3.34,3.35,Cc1ccc(C)c(C(=O)O)c1C,164.204,2.31006,37.3,1,1,1,1,0.3,0,0,1,0,1,0,2,1,0,
Cc1ccc(C)c(C(=O)O)c1O,3.23,2.2,Cc1ccc(C)c(C(=O)O)c1O,166.176,1.70724,57.53,2,2,1,1,0.222222,0,0,1,0,1,0,2,1,0,
Cc1ccc(N)c(C(=O)O)c1,5.13,4.03,Cc1ccc(N)c(C(=O)O)c1,151.165,1.27542,63.32,2,2,1,1,0.125,0,0,1,0,1,0,2,1,0,
Cc1ccc(O)c(C(=O)O)c1,3.026666666666667,3.24,Cc1ccc(O)c(C(=O)O)c1,152.149,1.39882,57.53,2,2,1,1,0.125,0,0,1,0,1,0,2,1,0,
