Smiles,pKa,predicted_pKa
Nc1ccc(F)cc1C(=O)O,4.82,3.97
Nc1ccc(O)cc1C(=O)O,5.37,4.13
Nc1ccc(Oc2ccccc2)cc1C(=O)O,4.88,4.18
Nc1cccc(C(=O)O)c1,4.749,4.38
Nc1ccccc1C(=O)O,4.911714285714285,4.06
O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,3.545,3.51
O=C(CCNC(=O)OCc1ccccc1)N[C@@H](Cc1cnc[nH]1)C(=O)O,6.964,3.39
O=C(O)/C=C/c1ccc(O)cc1,4.64,4.56
O=C(O)C#Cc1ccccc1,2.23,2.19
O=C(O)C(=O)C=S1SCC=C1c1ccccc1,2.75,2.62
O=C(O)C(C(=O)O)c1ccccc1,2.77,2.8
O=C(O)C(Cc1ccccc1)C(=O)O,2.91,3.04
O=C(O)C(O)c1ccc(Br)cc1,3.15,3.73
O=C(O)C(O)c1ccc(Cl)cc1,3.15,3.72
O=C(O)C(O)c1ccc(F)cc1,3.19,3.71
O=C(O)C(O)c1ccc(I)cc1,3.14,3.72
O=C(O)C(O)c1ccccc1,3.165,3.63
O=C(O)C(O)c1ccccc1Br,3.32,3.73
O=C(O)C(O)c1ccccc1Cl,3.31,3.74
O=C(O)C(O)c1ccccc1F,3.3,3.64
O=C(O)C(SC(C(=O)O)c1ccccc1)c1ccccc1,2.61,3.27
O=C(O)C1(O)CC(O)C(O)C(O)C1,3.54,3.64
O=C(O)C1(O)CCCC1,4.0016,3.94
O=C(O)C1(O)CCCCC1,4.013666666666667,4.14
O=C(O)C1(O)CCCCCC1,4.063,4.14
O=C(O)C12CC(C1)C2,4.09,4.2
O=C(O)C12CCC(Br)(CC1)C2,4.356,4.6
O=C(O)C12CCC(Br)(CC1)CC2,4.619,5.44
O=C(O)C12CCC(C(=O)O)(CC1)C2,4.197,4.59
O=C(O)C12CCC(C(=O)O)(CC1)CC2,4.468,6.1
O=C(O)C12CCC(C1)C2,4.46,4.34
O=C(O)C12CCC(CC1)C2,4.883,4.92
O=C(O)C12CCC(CC1)CC2,5.084,4.98
O=C(O)C1=C(C(=O)O)C2C=CC1C2,1.32,3.57
O=C(O)C1=C(C(=O)O)C2CCC1C2,1.32,3.53
O=C(O)C1=C(C(=O)O)CC1,1.12,3.67
O=C(O)C1=C(C(=O)O)CCC1,1.64,3.37
O=C(O)C1C(C(=O)O)C1(c1ccccc1)c1ccccc1,2.3666666666666667,3.23
O=C(O)C1C(C(=O)O)C12c1ccccc1-c1ccccc12,3.21,3.18
O=C(O)C1C2C=CC(C2)C1C(=O)O,3.97,3.68
O=C(O)C1C2CCC(C2)C1C(=O)O,4.02,3.6
O=C(O)C1C2CCC(CC2)C1C(=O)O,4.26,3.56
O=C(O)C1C2CCC(O2)C1C(=O)O,3.46,3.34
O=C(O)C1CC(O)C(O)C(O)C1,4.32,4.55
O=C(O)C1CC2C=CC1(C(=O)O)CC2,3.85,3.6
O=C(O)C1CCCC(C(=O)O)N1,10.12,2.46
O=C(O)C1CCCCC1,4.895,4.81
O=C(O)C1CCCCC1O,4.0,4.65
O=C(O)C1CSCN1,6.08,1.78
O=C(O)C=C(Cl)c1ccccc1,3.56,3.22
O=C(O)C=C=Cc1ccccc1,3.7,3.77
O=C(O)C=Cc1ccc(O)c(O)c1,4.555,4.54
O=C(O)CC#Cc1ccccc1,3.44,3.38
O=C(O)CC(CC(=O)O)(c1ccccc1)c1ccccc1,4.02,3.93
O=C(O)CC(CC(=O)O)c1ccccc1,4.28,3.91
O=C(O)CC(NCc1ccccc1)C(=O)O,3.34,2.29
O=C(O)CCOc1ccccc1,4.32,4.45
O=C(O)CCc1ccc(Cl)cc1,4.66,4.45
O=C(O)CCc1ccc([N+](=O)[O-])cc1,4.54,4.45
O=C(O)CCc1cccc([N+](=O)[O-])c1,4.53,4.36
O=C(O)CCc1ccccc1,4.688,4.44
O=C(O)CCc1ccccc1Br,4.58,4.36
O=C(O)CCc1ccccc1F,4.6,4.33
O=C(O)CCc1ccccc1O,4.75,4.42
O=C(O)CCc1ncc[nH]1,7.56,4.79
O=C(O)CN(CC(=O)O)C1CCCCC1,2.22,2.28
O=C(O)CN(CC(=O)O)CC(=O)Nc1ccc(Br)cc1,2.2,2.18
O=C(O)CN(CC(=O)O)CC(=O)c1ccccc1,1.875,2.13
O=C(O)CN(CC(=O)O)CC(=O)c1cccs1,7.46,2.12
O=C(O)CN(CC(=O)O)Cc1ccc([N+](=O)[O-])cc1,7.65,2.21
O=C(O)CN(CC(=O)O)Cc1ccccc1,2.2375,2.2
O=C(O)CN(CC(=O)O)Cc1ccccc1[N+](=O)[O-],8.29,2.2
O=C(O)CN(CC(=O)O)Cc1ccccn1,8.215,1.86
O=C(O)CN(CC(=O)O)c1cc(C(=O)O)c(O)cc1C(=O)O,1.61,3.22
O=C(O)CN(CC(=O)O)c1ccc(N(CC(=O)O)CC(=O)O)cc1,2.1,3.1
O=C(O)CN(CCN(CC(=O)O)Cc1ccccn1)Cc1ccccn1,5.63,1.17
O=C(O)CN(CCOc1ccccc1)CC(=O)O,8.49,2.17
O=C(O)CN1C(C(=O)O)CCCC1C(=O)O,2.71,2.38
O=C(O)CN1CCCCC1,10.2,2.34
O=C(O)CN1CCOCC1,7.53,2.2
O=C(O)CNC(=O)c1ccccc1O,3.41,3.61
O=C(O)CNc1ccc(Cl)cc1,4.04,3.41
O=C(O)CNc1cccc(Cl)c1,3.93,3.44
O=C(O)CNc1cccc([N+](=O)[O-])c1,3.752,3.5
O=C(O)CNc1ccccc1,4.39,3.47
O=C(O)COC(C(=O)O)c1ccccc1,2.87,3.34
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,2.833,3.35
O=C(O)COc1ccc(Cl)cc1,3.009,3.38
O=C(O)COc1ccc(Cl)cc1Cl,2.9130000000000003,3.36
O=C(O)COc1ccc([N+](=O)[O-])cc1,2.81,3.38
O=C(O)COc1cccc(Br)c1,3.04,3.38
O=C(O)COc1cccc(Cl)c1,3.04,3.38
O=C(O)COc1cccc([N+](=O)[O-])c1,2.91,3.36
O=C(O)COc1ccccc1,3.090666666666667,3.38
O=C(O)COc1ccccc1C(=O)O,2.51,3.37
O=C(O)COc1ccccc1O,3.02,3.55
O=C(O)COc1ccccc1OCC(=O)O,2.4,3.36
O=C(O)CP(=O)(c1ccccc1)c1ccccc1,3.62,3.16
O=C(O)CS(=O)(=O)c1ccc(Br)cc1,2.519,2.74
O=C(O)CS(=O)(=O)c1ccc(Cl)cc1,2.424,2.74
O=C(O)CS(=O)(=O)c1ccc(F)cc1,2.479,2.76
O=C(O)CS(=O)(=O)c1ccc([N+](=O)[O-])cc1,2.33,2.73
O=C(O)CS(=O)(=O)c1cccc(Br)c1,2.523,2.76
O=C(O)CS(=O)(=O)c1cccc(Cl)c1,2.454,2.76
O=C(O)CS(=O)(=O)c1cccc(F)c1,2.432,2.83
O=C(O)CS(=O)(=O)c1cccc([N+](=O)[O-])c1,2.362,2.73
O=C(O)CS(=O)(=O)c1ccccc1,2.513,2.77
O=C(O)CS(=O)c1ccc(Br)cc1,2.657,2.79
O=C(O)CS(=O)c1ccc(Cl)cc1,2.664,2.79
O=C(O)CS(=O)c1ccc(F)cc1,2.653,2.81
O=C(O)CS(=O)c1cccc(Br)c1,2.674,2.8
O=C(O)CS(=O)c1cccc(Cl)c1,2.663,2.81
O=C(O)CS(=O)c1cccc(F)c1,2.675,2.88
O=C(O)CS(=O)c1ccccc1,2.732,2.81
O=C(O)CSC(C(=O)O)c1ccccc1,2.98,3.44
O=C(O)CSC(SCC(=O)O)c1ccccc1,3.09,3.54
O=C(O)CSCc1ccccc1,3.708,3.71
O=C(O)CSc1ccc(Br)cc1,3.54,3.71
O=C(O)CSc1ccc(Cl)cc1,3.53,3.71
