cas,smiles
13734-36-6,O=C(OC(C)(C)C)N(C)CC(=O)O
385-00-2,O=C(O)C=1C(F)=CC=CC1F
5198-88-9,O=C(O)C=1N=C(Br)SC1
142253-55-2,O=C(OC(C)(C)C)N1CC(C(=O)O)C1
117-34-0,O=C(O)C(C=1C=CC=CC1)C=2C=CC=CC2
619-67-0,O=C(O)C1=CC=C(C=C1)NN
3167-49-5,O=C(O)C1=CN=C(N)C=C1
38496-18-3,O=C(O)C1=CC=C(Cl)N=C1Cl
15069-92-8,O=C(O)C1=NC=C(O)C=C1
2107-70-2,O=C(O)CCC1=CC=C(OC)C(OC)=C1
621-37-4,O=C(O)CC=1C=CC=C(O)C1
775-01-9,O=C(O)C(O)C1=CC=C(O)C(O)=C1
163438-09-3,O=C(OC(C)(C)C)N1CCCC(C(=O)O)C1
3739-38-6,O=C(O)C=1C=CC=C(OC=2C=CC=CC2)C1
56-69-9,O=C(O)C(N)CC1=CNC=2C=CC(O)=CC21
2591-17-5,O=C(O)C1N=C(SC1)C2=NC=3C=CC(O)=CC3S2
71989-26-9,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NC(C(=O)O)CCCCNC(=O)OC(C)(C)C
97-61-0,O=C(O)C(C)CCC
506-12-7,O=C(O)CCCCCCCCCCCCCCCC
1002-84-2,O=C(O)CCCCCCCCCCCCCC
302-84-1,O=C(O)C(N)CO
327-57-1,O=C(O)C(N)CCCC
36476-78-5,O=C(O)C1CNC1
6384-92-5,O=C(O)CC(NC)C(=O)O
492-37-5,O=C(O)C(C=1C=CC=CC1)C
693-23-2,O=C(O)CCCCCCCCCCC(=O)O
672-15-1,O=C(O)C(N)CCO
2612-02-4,O=C(O)C1=CC(OC)=CC=C1O
99-06-9,O=C(O)C=1C=CC=C(O)C1
1197-55-3,O=C(O)CC1=CC=C(N)C=C1
23981-47-7,O=C(O)CC1=CC=C2C=C(OC)C=CC2=C1
621-54-5,O=C(O)CCC=1C=CC=C(O)C1
13734-34-4,O=C(OC(C)(C)C)NC(C(=O)O)CC=1C=CC=CC1
492-27-3,O=C(O)C1=NC=2C=CC=CC2C(O)=C1
427-49-6,O=C(O)C(O)(C=1C=CC=CC1)C2CCCC2
3650-09-7,O=C(O)C12C=3C(O)=C(O)C(=CC3CCC1C(C)(C)CCC2)C(C)C
54-12-6,O=C(O)C(N)CC1=CNC=2C=CC=CC21
530-78-9,O=C(O)C=1C=CC=CC1NC2=CC=CC(=C2)C(F)(F)F
4350-09-8,O=C(O)C(N)CC1=CNC=2C=CC(O)=CC21
1161-13-3,O=C(O)C(NC(=O)OCC=1C=CC=CC1)CC=2C=CC=CC2
116-53-0,O=C(O)C(C)CC
26782-71-8,O=C(O)C(N)C(C)(C)C
577-56-0,O=C(O)C=1C=CC=CC1C(=O)C
54045-76-0,O=C(O)C=1SC(Br)=NC1
2133-34-8,O=C(O)C1NCC1
619-04-5,O=C(O)C1=CC=C(C(=C1)C)C
97-65-4,O=C(O)C(=C)CC(=O)O
871-70-5,O=C(O)CCCCCCCCCCCCCCCCC(=O)O
100-21-0,O=C(O)C1=CC=C(C=C1)C(=O)O
2706-90-3,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
536-66-3,O=C(O)C1=CC=C(C=C1)C(C)C
83-40-9,O=C(O)C1=CC=CC(=C1O)C
4389-45-1,O=C(O)C1=CC=CC(=C1N)C
1466-76-8,O=C(O)C=1C(OC)=CC=CC1OC
1866-39-3,O=C(O)C=CC1=CC=C(C=C1)C
3303-84-2,O=C(OC(C)(C)C)NCCC(=O)O
6880-04-2,O=C(O)C1=CC=C(OC)C(=C1)C
17199-29-0,O=C(O)C(O)C=1C=CC=CC1
5653-40-7,O=C(O)C1=CC(OC)=C(OC)C=C1N
1878-66-6,O=C(O)CC1=CC=C(Cl)C=C1
673-06-3,O=C(O)C(N)CC=1C=CC=CC1
635-21-2,O=C(O)C1=CC(Cl)=CC=C1N
20776-50-5,O=C(O)C1=CC=C(Br)C=C1N
104-03-0,O=C(O)CC1=CC=C(C=C1)N(=O)=O
723-62-6,O=C(O)C=1C=2C=CC=CC2C=C3C=CC=CC31
81228-09-3,O=C(O)CC1=CC=C(F)C=C1F
1218-34-4,O=C(O)C(NC(=O)C)CC1=CNC=2C=CC=CC21
96-97-9,O=C(O)C1=CC(=CC=C1O)N(=O)=O
42711-75-1,O=C(O)C12CC3CC(CC(O)(C3)C1)C2
619-14-7,O=C(O)C1=CC=C(C(O)=C1)N(=O)=O
13280-60-9,O=C(O)C1=CC(N)=CC=C1N(=O)=O
23981-80-8,O=C(O)C(C1=CC=C2C=C(OC)C=CC2=C1)C
15788-16-6,O=C(O)C=1C=CC=2N=CNC2C1
74163-81-8,O=C(O)C1NCC=2C=CC=CC2C1
60239-18-1,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1
1148-11-4,O=C(O)C1N(C(=O)OCC=2C=CC=CC2)CCC1
119-24-4,O=C(O)C1=CC=C(C=C1)NCC=2N=C3C(=O)N=C(N=C3NC2)N
90098-04-7,O=C1C=C(C=2C=CC=CC2N1)CC(NC(=O)C3=CC=C(Cl)C=C3)C(=O)O
328-38-1,O=C(O)C(N)CC(C)C
42831-50-5,O=C(O)C=1C=NOC1C
527-72-0,O=C(O)C=1SC=CC1
88-13-1,O=C(O)C1=CSC=C1
498-94-2,O=C(O)C1CCNCC1
34592-47-7,O=C(O)C1NCSC1
5398-44-7,O=C(O)C=1C=C(Cl)N=C(Cl)C1
10417-94-4,O=C(O)CCCC=CCC=CCC=CCC=CCC=CCC
68506-86-5,O=C(O)CCC(N)C=C
4042-36-8,O=C(O)C1NC(=O)CC1
16694-18-1,O=C(O)C=1SC=C(Br)C1
619-05-6,O=C(O)C1=CC=C(N)C(N)=C1
6311-35-9,O=C(O)C1=CN=C(Br)C=C1
